                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2788,                 4.1149,                 1.5269,                 0.5022,                0.46192,                0.51512,                0.35296,                0.84569,                 3.4797,                 1.3231,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.1321,                 3.7488,                 1.4594,                0.51937,                0.43938,                0.52627,                0.36622,                0.88653,                 2.9528,                 1.3708,             0.00012819,             0.00012819,             0.00012819
                      3,                 1.0184,                 2.8706,                 1.3674,                0.49209,                0.48456,                0.54594,                0.36784,                0.87556,                 2.0079,                   1.33,             0.00019874,             0.00019874,             0.00019874
                      4,                0.98442,                 2.1038,                 1.3187,                0.74471,                  0.528,                0.69633,                0.45512,                0.85515,                 1.8154,                 1.2875,             0.00026882,             0.00026882,             0.00026882
                      5,                0.92747,                 1.8821,                 1.3071,                0.71122,                0.46125,                0.64718,                0.44471,                 0.7917,                 1.6704,                 1.2078,             0.00033843,             0.00033843,             0.00033843
                      6,                0.89243,                 1.6831,                  1.233,                0.72538,                0.34728,                0.60323,                0.41278,                0.77168,                 1.5851,                 1.1812,             0.00040757,             0.00040757,             0.00040757
                      7,                0.84584,                 1.4061,                 1.2277,                0.42218,                0.73406,                0.68994,                0.48565,                0.73686,                 1.3675,                 1.1587,             0.00047624,             0.00047624,             0.00047624
                      8,                0.86791,                 1.3027,                 1.2639,                0.72633,                0.76289,                0.82907,                0.62792,                0.67363,                 1.1973,                 1.1201,             0.00054444,             0.00054444,             0.00054444
                      9,                0.86426,                 1.2218,                 1.2336,                0.73563,                0.74877,                0.84301,                0.66625,                0.65694,                 1.1158,                 1.0951,             0.00061216,             0.00061216,             0.00061216
                     10,                0.82504,                 1.1675,                 1.2419,                0.66844,                0.77079,                0.80354,                0.61738,                0.69259,                 1.1356,                 1.1034,             0.00067941,             0.00067941,             0.00067941
                     11,                0.78863,                 1.0454,                 1.1618,                0.69284,                0.77301,                0.80311,                0.61007,                0.67773,                 1.0469,                 1.0947,              0.0007462,              0.0007462,              0.0007462
                     12,                0.84386,                 1.1023,                 1.2233,                0.78155,                0.85186,                0.86117,                0.67846,                 0.6738,                0.93256,                 1.0816,             0.00081251,             0.00081251,             0.00081251
                     13,                0.84914,                 1.0625,                 1.1663,                0.75279,                0.87478,                0.86128,                0.69214,                0.69889,                0.94251,                 1.0939,             0.00087834,             0.00087834,             0.00087834
                     14,                0.88038,                  1.069,                 1.2671,                0.74781,                0.86033,                0.83956,                0.67337,                0.68512,                0.91826,                 1.1208,             0.00094371,             0.00094371,             0.00094371
                     15,                0.85821,                 1.0045,                 1.1942,                 0.7738,                0.83571,                0.86038,                0.67313,                0.67671,                0.89889,                 1.1002,              0.0010086,              0.0010086,              0.0010086
                     16,                0.84032,                 1.0077,                 1.2008,                0.74641,                0.87578,                0.87361,                0.70941,                0.63535,                0.87714,                 1.0758,               0.001073,               0.001073,               0.001073
                     17,                0.87951,                  1.008,                 1.1712,                0.75352,                0.89441,                0.89319,                0.72249,                0.67372,                 0.8922,                 1.0954,               0.001137,               0.001137,               0.001137
                     18,                0.81715,                0.92984,                 1.1785,                0.73019,                0.87293,                0.87737,                0.71677,                 0.6726,                0.85896,                 1.0967,              0.0012005,              0.0012005,              0.0012005
                     19,                0.84604,                0.94167,                 1.1924,                0.79081,                0.85708,                0.89718,                0.72361,                0.67771,                0.82569,                 1.1013,              0.0012635,              0.0012635,              0.0012635
                     20,                0.90674,                0.95277,                 1.2471,                0.82111,                0.87682,                0.91994,                0.74598,                0.66927,                0.85676,                  1.094,               0.001326,               0.001326,               0.001326
